term_str,x,y,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf
yeah,-0.15534788,24.537144,39,3218,0.004100277131844679,7.930062861949374,4,NN,NN,10,15,0,yeah,3039,4.301104172290311,13071.055579590256
all,-11.952365,22.631891,40,3176,0.004046762017010161,7.949016275529862,3,DT,DT,6,7,1,all,2870,4.3836501102495555,12581.075816416225
okay,-4.5826197,24.865232,41,2970,0.0037842831204408624,8.045764256984691,4,NN,NN,10,16,0,okay,2713,4.4648117995307395,12113.034412126895
michael,13.284351,26.599611,42,2863,0.0036479469945529257,8.098699517673467,7,NN,NNP,7,9,0,michael,2591,4.531191831632511,11740.318035759836
but,-15.628055,4.6547046,43,2822,0.0035957060491192305,8.119509200075555,3,CC,CC,6,7,1,but,2656,4.495445700465681,11939.903780436849
up,15.746566,9.462488,44,2813,0.0035842385245118337,8.12411763535812,2,RP,RP,6,8,1,up,2598,4.527299416364724,11761.923883715554
here,-1.7679774,9.496626,45,2716,0.0034606440926321157,8.174743708428089,4,RB,RB,6,7,1,here,2486,4.5908745507601205,11412.914133189659
right,-2.2443745,12.554145,46,2691,0.0034287898576115697,8.188084797032403,5,NN,NN,5,9,0,right,2468,4.601358452663187,11356.152661172746
out,17.182062,9.607422,47,2663,0.0033931131143885578,8.203174759462206,3,RP,RP,4,5,1,out,2457,4.607802989450441,11321.371945079734
get,-35.65549,2.3781111,48,2610,0.0033255821361450003,8.232177381215573,3,VB,VB,3,5,0,get,2438,4.619002721192394,11261.128634267056
at,11.352461,7.884166,49,2594,0.003305195425731851,8.24104870842112,2,IN,IN,3,3,1,at,2370,4.659813788026984,11043.758677623951
about,-11.752479,-5.2943254,50,2529,0.0032223744146784314,8.27766015100958,5,IN,IN,6,7,1,about,2344,4.675728277390358,10959.907082202999
well,-6.5396514,16.99017,51,2518,0.0032083585512693914,8.283948904953803,4,RB,RB,11,15,0,well,2434,4.6213716790988775,11248.418666926667
can,-26.8981,-16.94844,52,2496,0.003180326824451311,8.296609253810573,3,MD,MD,3,4,1,can,2309,4.69743267403849,10846.372044354874
did,-26.949566,-12.943943,53,2440,0.003108973338005288,8.329346040222571,3,VB,VBD,4,7,1,did,2205,4.7639221913677225,10504.448431965828
there,-2.1234019,9.778279,54,2436,0.0031038766604020007,8.331713054766487,5,EX,EX,4,6,1,there,2183,4.778388716821815,10431.222568822022
hey,17.236818,27.788616,55,2403,0.0030618290701748796,8.351390539542955,3,NN,NNP,10,15,0,hey,2163,4.791667181850627,10364.376114342907
go,-37.42477,5.252687,56,2394,0.0030503615455674832,8.356804035729319,2,VB,VB,6,9,0,go,2153,4.798352527645372,10330.852992020486
think,-25.86142,-8.299408,57,2276,0.002900009556270506,8.429726630366238,5,VB,VBP,3,6,0,think,2135,4.810464777304753,10270.342299545648
dwight,10.087345,28.014818,58,2267,0.0028885420316631097,8.435442796932033,6,NN,NNP,5,8,0,dwight,2005,4.9010986104703225,9826.702713992996
good,-4.1894965,7.4661107,59,2205,0.0028095435288121554,8.475448532227936,4,JJ,JJ,5,8,0,good,1986,4.914835224284232,9760.862755428485
one,1.8429307,-22.78297,60,2131,0.0027152549931513397,8.524696594890116,3,CD,CD,4,5,0,one,1928,4.957595795582644,9558.244693883336
they,-28.422062,15.514986,61,2091,0.002664288217118466,8.55203412608324,4,PR,PRP,3,4,1,they,1717,5.124810807810471,8799.300157010579
if,-19.11044,1.5394484,62,2057,0.0026209664574905235,8.575685394147886,2,IN,IN,3,4,1,if,1925,4.959842401342979,9547.696622585236
jim,11.76617,29.227524,63,2055,0.00261841811868888,8.577088794103775,3,NN,NNP,5,8,0,jim,1803,5.0543014503802635,9112.905515035614
really,-14.575815,2.7592216,64,2028,0.0025840155448666902,8.59616953566948,6,RB,RB,3,3,0,realli,1897,4.98098116840113,9448.921276456944
how,-17.460968,13.252078,65,2001,0.0025496129710445,8.615506020767079,3,WR,WRB,6,7,1,how,1884,4.990901882199823,9402.859146064466
going,-15.599097,8.555086,66,1993,0.0025394196158379256,8.621285477833762,5,VB,VBG,3,3,0,go,1790,5.064741259660987,9065.886854793167
na,-17.952633,8.422376,67,1987,0.0025317745994329947,8.62563531542315,2,TO,TO,8,10,0,na,1702,5.1374698101266425,8743.973616835545
would,-23.247173,-17.398066,68,1900,0.002420921861561495,8.69022776945451,5,MD,MD,3,4,0,would,1708,5.132392872192115,8766.127025704132
want,-30.470837,-12.26678,69,1856,0.0023648584079253338,8.724030477545249,4,VB,VBP,3,5,0,want,1641,5.190125608298893,8516.996123218483
she,-22.226732,17.100056,70,1853,0.0023610358997228683,8.726364306645554,3,PR,PRP,3,4,1,she,1421,5.3977942925698255,7670.265689741722
pam,11.772989,29.22933,71,1715,0.0021852005224094542,8.838018611612645,3,NN,NNP,8,12,0,pam,1530,5.291169194232591,8095.4888671758645
yes,-1.5960499,20.54438,72,1707,0.0021750071672028796,8.844764129645082,3,UH,UH,10,14,0,ye,1569,5.254855494844508,8244.868271411033
got,-16.809496,-18.584137,73,1706,0.002173732997802058,8.84560954135453,3,VB,VBD,3,8,0,got,1565,5.258538189992625,8229.612267338458
her,-19.002483,21.388557,74,1657,0.0021112986971617877,8.887653585451368,3,PR,PRP$,4,6,1,her,1380,5.440032580147074,7507.244960602962
now,-11.9473915,22.627071,75,1557,0.0019838817570796037,8.977458243593784,3,RB,RB,4,6,1,now,1488,5.331326320704574,7933.013565208405
his,12.688848,12.675583,76,1556,0.001982607587678782,8.978385127686629,3,PR,PRP$,3,3,1,hi,1368,5.452632616926707,7459.201419955736
gon,-12.11739,13.183383,77,1555,0.00198133341827796,8.979312607654855,3,VB,VBG,5,12,0,gon,1384,5.435856904175881,7523.225955379419
uh,-1.932651,22.933838,78,1531,0.001950753352658236,9.001752905173033,2,NN,NNP,9,13,0,uh,1372,5.448420365639794,7475.232741657796
ok,-4.4233046,24.978037,79,1524,0.0019418341668524831,9.008364285179498,2,NN,NN,12,16,0,ok,1424,5.394751700846208,7682.126422005001
who,-21.279276,11.323583,80,1492,0.0019010607460261842,9.038979652417582,3,WP,WP,7,8,1,who,1322,5.501978670304914,7273.6158021430965
from,19.435019,8.450507,81,1490,0.0018985124072245405,9.040914857323296,4,IN,IN,3,3,1,from,1421,5.3977942925698255,7670.265689741722
let,-14.616383,17.385183,82,1484,0.0018908673908196094,9.046736096052017,3,VB,VB,4,8,0,let,1366,5.454743363522515,7451.179434571755
an,14.656671,-21.832853,83,1483,0.0018895932214187876,9.047708590218189,2,DT,DT,5,5,1,an,1396,5.423401905602954,7571.069060221724
come,-35.9343,6.960797,84,1472,0.0018755773580097473,9.058449516615807,4,VB,VB,4,8,0,come,1356,5.465343668676262,7411.006014725011
ll,-26.562927,-17.750317,85,1454,0.0018526423087949543,9.076199918753225,2,MD,MD,1,1,1,ll,1338,5.484622731171145,7338.425214306992
back,14.197816,8.903832,86,1426,0.0018169655655719428,9.104253206228933,4,RB,RB,5,8,0,back,1338,5.484622731171145,7338.425214306992
as,0.86995846,0.6836974,87,1418,0.001806772210365368,9.112369655433303,2,IN,IN,3,3,1,as,1129,5.729655361039605,6468.780902613714
him,-19.495455,20.931591,88,1417,0.0018054980409645462,9.113387429754802,3,PR,PRP,3,4,1,him,1231,5.604870085328148,6899.59507503895
will,-26.35588,-17.726902,89,1414,0.0018016755327620807,9.116445067863422,4,MD,MD,3,3,1,will,1239,5.595524659672004,6932.855053333613
am,-9.911141,17.015638,90,1376,0.0017532570955308508,9.155746717970722,2,VB,VBP,3,5,1,am,1232,5.603698591117704,6903.756664257011
why,-24.802935,-6.8276563,91,1342,0.0017099353359029082,9.191842516472637,3,WR,WRB,5,5,1,whi,1279,5.5496845829309684,7098.0465815687085
or,-17.293642,-0.08335368,92,1316,0.0016768069314815404,9.220067698937578,2,CC,CC,6,7,1,or,1161,5.6893328749470395,6605.315467813513
see,-31.805727,-3.9346683,93,1306,0.001664065237473322,9.23107229112639,3,VB,VB,2,4,0,see,1237,5.597855346836235,6924.547064036423
time,4.9064713,-27.121605,94,1289,0.0016424043576593508,9.24997492431117,4,NN,NN,1,2,0,time,1195,5.647690228944494,6748.98982358867
could,-26.408117,-16.286943,95,1254,0.0015978084286305864,9.289689839870782,5,MD,MD,3,4,0,could,1154,5.698057623167124,6575.558497134861
some,6.1118183,-20.016243,96,1233,0.0015710508712133279,9.31405438826998,4,DT,DT,3,4,1,some,1146,5.708093803055701,6541.475498301833
because,-16.364822,4.3969226,97,1232,0.001569776701812506,9.31522493197792,7,IN,IN,6,7,1,becaus,1148,5.705578205136918,6550.003779497182
say,-29.960032,-5.538744,98,1201,0.001530277450387029,9.351991036967187,3,VB,VB,3,5,0,say,1109,5.755441481650895,6382.784603150843
when,-9.576991,-21.48638,99,1160,0.0014780365049533336,9.402102382657885,4,WR,WRB,4,5,1,when,1084,5.788336090458734,6274.556322057268
look,3.3893654,11.497446,100,1134,0.0014449081005319657,9.434806547730592,4,VB,NN,3,6,0,look,1048,5.8370621302751555,6117.241112528363
need,-30.475245,-12.277776,101,1132,0.001442359761730322,9.437353229840937,4,VB,VBP,4,6,0,need,1039,5.849505192908394,6077.635895431821
then,-7.3910913,-16.659794,102,1123,0.0014308922371229255,9.448869260272218,4,RB,RB,4,4,1,then,1032,5.859257876389352,6046.754128433811
great,-4.559097,7.2733593,103,1089,0.0013875704774949829,9.493223233955913,5,JJ,JJ,3,4,0,great,1020,5.876131694953748,5993.654328852823
should,-26.394295,-16.167242,104,1085,0.0013824737998916956,9.49853214534098,6,MD,MD,3,3,1,should,1039,5.849505192908394,6077.635895431821
people,5.1747746,-21.592604,105,1067,0.0013595387506769026,9.522667011848394,6,NN,NNS,1,2,0,peopl,968,5.951621894538011,5761.169993912795
thank,-1.3180946,27.085464,106,1058,0.001348071226069506,9.534887560558793,5,NN,NN,6,10,0,thank,990,5.919200416845634,5860.008412677177
um,-1.96662,22.903624,107,1057,0.0013467970566686841,9.536251811290137,2,NN,NNP,8,11,0,um,976,5.939747794249719,5797.193847187726
very,-14.437275,11.466292,108,1043,0.0013289586850571784,9.555488030153054,4,RB,RB,4,4,1,veri,943,5.989371171137509,5647.977014382671
andy,11.755162,26.275055,109,1040,0.001325136176854713,9.559643659644365,4,NN,NNP,3,5,0,andi,950,5.978701428594295,5679.766357164581
guys,0.4432325,17.615639,110,1026,0.001307297805243207,9.579196457065766,4,NN,NNS,3,9,0,guy,945,5.98631461270417,5657.067309005441
take,-34.990284,0.2707383,111,1022,0.0013022011276399197,9.584831991735198,4,VB,VB,2,4,0,take,963,5.959093143969146,5738.606697642288
office,20.402477,3.2885742,112,1015,0.001293281941834167,9.594747460600281,6,NN,NN,1,2,0,offic,968,5.951621894538011,5761.169993912795
ve,-14.354147,-23.409248,113,998,0.0012716210620201955,9.61911546733556,2,VB,VBP,1,1,1,ve,942,5.990901882199823,5643.429573032233
little,8.312632,-22.288673,114,985,0.0012550568598095116,9.638031558329082,6,JJ,JJ,5,6,0,littl,921,6.02342778572127,5547.57699064929
been,-13.010024,-20.325771,115,985,0.0012550568598095116,9.638031558329082,4,VB,VBN,4,5,1,been,917,6.029707208217551,5529.241509935494
were,-7.1506376,-13.504066,116,977,0.001244863504602937,9.649796720704435,4,VB,VBD,7,12,1,were,919,6.026564080523571,5538.412390001162
does,-16.505676,-10.238874,117,977,0.001244863504602937,9.649796720704435,4,VB,VBZ,3,5,1,doe,929,6.010950345429952,5584.1728709044255
make,-34.674263,-1.6227232,118,965,0.001229573471793075,9.667626340517378,4,VB,VB,4,6,0,make,910,6.040762396726547,5497.093781021157
ca,-27.539537,-12.670377,119,959,0.0012219284553881438,9.676624467654689,2,MD,MD,4,4,0,ca,893,6.067968766691383,5418.696108655405
had,-15.947318,-19.549204,120,949,0.0012091867613799254,9.691747195651711,3,VB,VBD,2,4,1,had,868,6.108933899368126,5302.554624651533
down,16.188608,8.78734,121,949,0.0012091867613799254,9.691747195651711,4,RP,RP,6,8,1,down,889,6.074445522982836,5400.18206993174
has,-13.175374,-12.062765,122,946,0.00120536425317746,9.696315099333425,3,VB,VBZ,2,4,1,ha,889,6.074445522982836,5400.18206993174
over,16.554855,8.660446,123,929,0.0011837033733634887,9.722476686290168,4,IN,IN,5,6,1,over,891,6.071203510290684,5409.4423276689995
man,1.047711,12.718287,124,925,0.0011786066957602014,9.728701917269145,3,NN,NN,4,5,0,man,877,6.094052099367873,5344.483691145624
mean,-24.08891,-8.457027,125,924,0.0011773325263593794,9.730262431256763,4,VB,VBP,3,7,0,mean,876,6.095698072211432,5339.8315112572145
our,16.94131,-17.596756,126,920,0.001172235848756092,9.736521421728446,3,PR,PRP$,3,3,1,our,841,6.154523141557461,5175.953962049824
sorry,-11.392727,9.826477,127,919,0.0011709616793552703,9.738090421383786,5,JJ,JJ,6,9,0,sorri,845,6.147677600643059,5194.787572543384
tell,-32.767868,-5.720192,128,913,0.0011633166629503393,9.747540422688598,4,VB,VB,4,6,0,tell,861,6.120615704415761,5269.8501215019705
something,-23.731812,12.673658,129,896,0.001141655783136368,9.774656550615216,9,NN,NN,2,3,0,someth,851,6.1374698101266425,5222.986808417772
them,-8.267632,-10.197715,130,890,0.001134010766731437,9.78434994681906,4,PR,PRP,3,4,1,them,776,6.270572289625478,4865.964096749371
god,1.8693309,27.520266,131,889,0.0011327365973306152,9.78597186384305,3,NN,NNP,6,10,0,god,824,6.183984604629387,5095.603314214615
us,-8.268907,-10.202877,132,886,0.0011289140891281495,9.790848584117802,2,PR,PRP,3,4,0,us,831,6.171780465042261,5128.749566450118
way,2.2507257,-15.687626,133,886,0.0011289140891281495,9.790848584117802,3,NN,NN,1,2,0,way,836,6.163125999731723,5152.373335775721
phone,18.685143,12.429719,134,874,0.0011136240563182876,9.810522003172222,5,NN,NN,2,3,0,phone,808,6.212273649060811,5019.517108441135
into,18.325975,8.0385275,135,860,0.0010957856847067817,9.83381862308336,4,IN,IN,2,2,1,into,824,6.183984604629387,5095.603314214615
more,-1.2703466,-20.100092,136,845,0.0010766731436944541,9.859203941503274,4,JJ,JJR,4,4,1,more,794,6.2374899346696475,4952.5670081277
thing,0.04500678,-14.328329,137,844,0.0010753989742936323,9.860912283965636,5,NN,NN,2,2,0,thing,806,6.215849103284638,5009.9743772474185
where,-18.116413,14.230184,138,834,0.0010626572802854139,9.878107899228157,5,WR,WRB,4,4,1,where,784,6.255775287697397,4904.527825554759
work,-37.894264,3.6459558,139,832,0.0010601089414837702,9.881571754531729,4,VB,NN,4,7,0,work,789,6.246603641799147,4928.570273379527
day,5.4087443,-27.023932,140,819,0.0010435447392730863,9.904291831031811,3,NN,NN,1,2,0,day,744,6.331326320704574,4710.506782604203
love,-22.264698,-8.981983,141,814,0.0010371738922689772,9.913126488406574,4,VB,VBP,6,8,0,love,728,6.362690491613909,4632.038677894926
off,16.60442,10.64471,142,808,0.001029528875864046,9.923799989921026,3,RP,RP,5,6,1,off,765,6.291169194232591,4812.744433587932
by,15.641762,6.19538,143,796,0.001014238843054184,9.945386852129172,2,IN,IN,1,1,1,by,753,6.313979077140678,4754.42624508693
doing,-9.8322935,8.158678,144,754,0.0009607237282196668,10.023590759404156,5,VB,VBG,3,3,1,do,733,6.352815743678794,4656.613940116556
please,-3.4796448,15.939293,145,749,0.0009543528812155576,10.03318956421407,6,VB,VB,5,8,0,pleas,692,6.435856904175881,4453.61297768971
two,12.083467,-29.571493,146,748,0.0009530787118147357,10.035117012785184,3,CD,CD,2,2,0,two,706,6.406960758541425,4523.314295530246
too,-15.696916,12.483716,147,743,0.0009467078648106266,10.044793072134224,3,RB,RB,4,5,1,too,712,6.394751700846208,4553.0632110025
d,-23.263786,-17.34567,148,700,0.0008919185805752875,10.13080036084049,1,MD,MD,4,7,1,d,654,6.517338306314523,4262.339252329698
everyone,6.477672,29.137238,149,693,0.0008829993947695346,10.145299930535607,8,NN,NN,2,3,0,everyon,655,6.515134035387793,4267.412793179004
much,-5.0532637,-9.272718,150,682,0.0008689835313604944,10.168383543648648,4,JJ,JJ,3,3,0,much,661,6.501978670304914,4297.807901071548
said,-18.211779,-8.970972,151,681,0.0008677093619596726,10.17050048466075,4,VB,VBD,2,3,0,said,630,6.571277113425327,4139.904581457956
call,-32.35605,0.47181058,152,681,0.0008677093619596726,10.17050048466075,4,VB,VB,3,7,0,call,621,6.592035673592124,4093.6541533007094
maybe,-18.935205,3.233496,153,674,0.0008587901761539197,10.185406691490961,5,RB,RB,3,5,0,mayb,633,6.564423442384264,4155.28003902924
never,-12.12532,-23.381308,154,663,0.0008447743127448794,10.209146412560232,5,RB,RB,3,4,0,never,622,6.589714361682003,4098.802332966206
new,16.158178,-14.159218,155,662,0.0008435001433440576,10.211324065865602,3,JJ,JJ,3,3,0,new,608,6.62255761836902,4026.515031968364
lot,21.887882,-17.623339,156,649,0.0008269359411333737,10.239936804673683,3,NN,NN,2,3,0,lot,622,6.589714361682003,4098.802332966206
give,-34.16828,-0.2988558,157,644,0.0008205650941292645,10.251094594558204,4,VB,VB,3,5,0,give,606,6.627311148339654,4016.15055589383
sure,-11.920752,9.165407,158,637,0.0008116459083235116,10.26686191041652,4,JJ,JJ,4,6,0,sure,621,6.592035673592124,4093.6541533007094
kevin,9.012621,25.771715,159,632,0.0008052750613194024,10.278230724495717,5,NN,NNP,3,4,0,kevin,569,6.718200289506024,3822.6559647289278
talk,-31.67425,-6.168665,160,626,0.0007976300449144714,10.291992625740201,4,VB,VB,2,3,0,talk,600,6.641666441316724,3984.9998647900347
ryan,10.79139,26.346573,161,621,0.0007912591979103621,10.30356201445234,4,NN,NNP,6,9,0,ryan,551,6.764576623241448,3727.2817194060376
wait,-4.7870374,21.430517,162,621,0.0007912591979103621,10.30356201445234,4,NN,NN,8,11,0,wait,516,6.859257876389352,3539.3770642169056
alright,-4.3611183,25.015436,163,615,0.0007836141815054311,10.317568872446218,7,NN,NN,5,7,0,alright,577,6.698057623167124,3864.7792485674304
any,1.2625841,-20.165926,164,613,0.0007810658427037875,10.322268208982038,3,DT,DT,3,4,1,ani,582,6.685609788904322,3891.0248971423152
guy,1.6229095,-7.6549554,165,613,0.0007810658427037875,10.322268208982038,3,NN,NN,3,4,0,guy,563,6.733494019732376,3790.9571331093275
even,-23.709135,-5.958789,166,613,0.0007810658427037875,10.322268208982038,4,RB,RB,3,3,0,even,583,6.683133058612109,3896.2665731708594
stop,-2.340865,18.085938,167,612,0.0007797916733029656,10.324623629980168,4,VB,VB,5,10,0,stop,485,6.948644194738115,3370.092434447986
nice,-4.136361,6.1843166,168,609,0.0007759691651005002,10.331713054766487,4,JJ,JJ,4,6,0,nice,590,6.665913987563402,3932.889252662407
actually,-14.505974,4.016659,169,605,0.0007708724874972128,10.341220140510863,8,RB,RB,2,2,0,actual,587,6.673268438702554,3917.208573518399
these,5.3276215,-22.995977,170,580,0.0007390182524766668,10.402102382657885,5,DT,DT,3,3,1,these,548,6.772453048852078,3711.304270770939
angela,10.528497,27.231535,171,579,0.000737744083075845,10.404591934683584,6,NN,NNP,3,6,0,angela,529,6.82336121969858,3609.5580852205485
put,-35.549175,3.7012622,172,579,0.000737744083075845,10.404591934683584,3,VB,VB,2,6,0,put,545,6.780372712148317,3695.3031281208328
thought,-18.907377,-7.578514,173,574,0.0007313732360717357,10.417104545997132,7,VB,VBD,3,6,0,thought,554,6.756742965763417,3743.235603032933
today,-4.1154966,0.87163234,174,561,0.0007148090338610518,10.450154512064028,5,NN,NN,1,2,0,today,539,6.7963436690601,3663.229237623394
its,-8.5969715,14.117825,175,555,0.0007071640174561208,10.465667511435353,3,NN,NNP,8,12,1,it,497,6.91338309025032,3435.951395854409
big,-1.5927206,-7.0990734,176,555,0.0007071640174561208,10.465667511435353,3,JJ,JJ,4,4,0,big,517,6.856464661497671,3544.7922299942957
room,23.620134,6.9331074,177,542,0.0006905998152454369,10.499862431318949,4,NN,NN,1,2,0,room,512,6.870485131812606,3517.688387488054
wow,0.80083877,25.130985,178,540,0.0006880514764437932,10.50519587562199,3,NN,NN,9,12,0,wow,525,6.834311519259121,3588.013547611038
first,17.923668,-20.68601,179,535,0.000681680629439684,10.518616391384311,5,JJ,JJ,6,6,0,first,510,6.876131694953748,3506.8271644264114
around,17.700388,8.1471,180,533,0.0006791322906380404,10.524019749913645,6,IN,IN,4,4,0,around,514,6.864860582618728,3528.538339466026
laughs,4.636725,25.03758,181,532,0.0006778581212372184,10.52672903717163,6,VB,VBZ,2,4,0,laugh,525,6.834311519259121,3588.013547611038
only,-0.63449836,-23.248295,182,529,0.000674035613034753,10.534887560558793,4,RB,RB,4,4,1,onli,514,6.864860582618728,3528.538339466026
ever,-12.41171,-23.443218,183,527,0.0006714872742331093,10.540352321035606,4,RB,RB,2,2,0,ever,491,6.930905917497912,3403.074805491475
anything,-23.719854,12.509355,184,524,0.0006676647660306438,10.54858847113537,8,NN,NN,2,3,0,anyth,503,6.896070542007078,3468.7234826295603
paper,13.460099,-15.526871,185,520,0.0006625680884273565,10.559643659644365,5,NN,NN,2,3,0,paper,466,7.006298987158325,3264.9353280157793
oscar,9.495738,26.263721,186,518,0.0006600197496257127,10.565203184986267,5,NN,NNP,5,8,0,oscar,461,7.021862191383268,3237.0784702276865
things,5.2181845,-21.46736,187,516,0.0006574714108240691,10.570784217249566,6,NN,NNS,2,3,0,thing,483,6.954605752976833,3359.07457868781
job,2.1311681,-12.6242285,188,512,0.0006523747332207817,10.58201147267282,3,NN,NN,1,2,0,job,473,6.9847887584732105,3303.8050827578286
other,9.887363,-29.36428,189,510,0.000649826394419138,10.587658035813963,5,JJ,JJ,1,1,1,other,490,6.933847192810035,3397.585124476917
everybody,5.9712977,29.190344,190,508,0.0006472780556174944,10.593326785900654,9,NN,NN,3,7,0,everybodi,476,6.975667368504662,3320.417667408219
looks,16.995016,17.189165,191,500,0.0006370847004109196,10.616227188010733,5,VB,VBZ,2,3,0,look,481,6.960592048042564,3348.044775108473
hi,16.934566,26.922812,192,498,0.0006345363616092759,10.62200954060474,2,NN,NN,8,12,0,hi,482,6.957595795582644,3353.561173470834
thanks,-1.362988,26.65116,193,495,0.0006307138534068105,10.630726757705848,6,NN,NNS,2,4,0,thank,481,6.960592048042564,3348.044775108473
